MP1  Cell Cycle - G2/M,MP2  Cell Cycle - G1/S,MP3  Cell Cylce HMG-rich,MP4  Cell Cylce Chromatin,MP5 Stress,MP6 Hypoxia,MP7 Stress (in vitro),MP8 Proteasomal degradation,MP9 Unfolded protein response,MP10 Protein maturation,MP11 Translation initiation,MP12 EMT-I,MP13 EMT-II,MP14 EMT-III,MP15 EMT IV,MP16 MES (glioma),MP17 Interferon/MHC-II (I),MP18 Interferon/MHC-II (II),MP19 Epithelial Senescence,MP20 MYC,MP21 Respiration,MP22 Secreted I,MP23 Secreted II,MP24 Cilia,MP25 Astrocytes,MP26 NPC Glioma,MP27 Oligo Progenitor,MP28 Oligo normal,MP29 NPC/OPC,MP30 PDAC-classical,MP31 Alveolar,MP32 Skin-pigmentation,MP33 RBCs,MP34 Platelet-activation,MP35 Hemato-related-I,MP36 IG,MP37 Hemato-related-II,MP38 Glutathione,MP39 Metal-response,MP40 Unassigned-I,MP41 Unassigned-II
KIF20B,CENPK,SNRPF,RANBP2,KLF4,WSB1,ATF3,EIF3I,PRDX4,LAMP2,QARS,TPM2,ITGB1,IFI27,SERPINE2,CLIC4,HLA-DQB1,SEPP1,IGFBP3,NIFK,COX17,PIM1,MSMB,FABP6,AHCYL1,ARL4D,CNTN1,QDPR,STMN4,VSIG2,PTPN13,GJB1,SYNGR1,PPIF,PRSS57,FCRL5,RAB37,AGT,ID4,IL32,AC010343.1
AURKB,CDCA5,ATP5G1,SMC5,KLF10,GPI,SNHG15,MCTS1,RPN2,LMAN2,RSL1D1,CAV1,RBP1,ISG15,SERPINF1,CREB5,LAP3,C10ORF10,PRSS22,NOLC1,MIR4461,PLAUR,NCOA7,MRPS31,RAMP1,BEX2,HES6,S100A1,DLL3,CA2,S100A9,GPR143,TFR2,TPM1,RAB32,HERPUD1,RGS18,CES2,IER2,KLK11,BPTF
CDCA3,SLBP,TPI1,ARGLU1,CXCL2,S100A10,RSRC2,SLC3A2,SRPRB,MAGED2,SLC27A5,CYR61,ITGA3,MDK,SLC47A2,DIRAS3,PSMB8,EGFL8,SPRR2D,SNRPD1,NDUFAB1,TNFAIP3,S100A9,ZMYND10,SCRG1,DDAH2,LHFPL3,SLAIN1,BTG1,HPGD,SFTA3,GYPC,TMEM14C,BIN2,SRGN,HLA-F,TPSB2,CLDN10,MT1A,KRT16,CCDC69
CDCA8,MCM6,COX5A,BDP1,ID1,SLC16A3,CEBPB,ECH1,AC068631.2,PIGT,SRM,IGFBP5,CDKN1A,MMP7,SNAI2,EGR1,C1S,GPX3,DSC2,MRPL3,NDUFB4,ANXA1,SCGB1A1,C12ORF75,C1ORF61,DLX5,PDGFRA,SLC48A1,TXNIP,DPCR1,SUSD2,LYST,UBAC1,CCND3,TSC22D3,IGKV4-1,ZEB2,DDC,PMP22,KRT17,CEP350
UBE2S,TMEM106C,ERH,SETD2,TOB1,EPB41L4A-AS1,ARF4,PSMD13,FKBP2,PRDX4,NME1,LGALS1,THBS1,PHLDA2,SOCS3,ELL2,HLA-DRB5,HLA-DMA,GPRC5A,MRTO4,SEC61G,CCL20,SPINK1,CAPSL,IGFBP7,GAP43,RGR,TUBB4A,LDLRAD3,OLFM4,DMBT1,NSG1,CA2,FCER1A,ZFP36L2,IGLC5,STXBP6,TMEM27,RSL24D1,LDLR,DDX5
KNSTRN,CENPM,HMGA1,SLK,TRIB1,ALDOA,EIF1B,TUBB4B,HM13,SERPINE2,NBEAL1,SPARCL1,FN1,PLP2,SPARC,F3,PLSCR1,MT1X,KRT7,SLIRP,UBL5,CYR61,IGFBP3,CES1,RASSF4,CRMP1,SCD5,TMEM144,SOX11,AKR7A3,NPC2,PIR,GATA1,FCER1G,FOS,IGLC6,KCNQ1OT1,TNFAIP6,TSC22D3,MALL,EIF5B
KIF2C,MYBL2,HNRNPA2B1,SPAG9,HSPH1,ANKRD37,OSER1,SNRPB2,LMAN1,TM9SF2,EIF3E,A2M,MMP7,CLDN4,TSC22D1,FRMD5,TYMP,SEMA3B,SPRR2A,LDHA,APRT,DDX21,VMO1,DNAAF1,ID1,ENO2,ANGPTL2,ABCA2,HIP1,CDH17,SLC22A31,RAB38,GYPB,FLI1,SERPINB1,IGLJ3,BMP2K,AGXT2,VCAM1,MMP7,GLCCI1
PBK,E2F1,MCM7,SUZ12,RASD1,CAV1,BTG1,DDX39A,LMAN2,TSPAN1,CCNB1IP1,ACTA2,TGM2,MYADM,ASPN,IGFBP7,C1R,UCHL1,ANXA1,NOP56,RPS29,EDN1,MUC5B,IFT57,IFITM3,TCEAL7,DHCR7,CA2,FGFBP3,FXYD3,TFPI,RRAGD,HBA2,GATA2,IGLL1,IGLL5,EREG,CFI,VCAN,RAB11FIP1,HIPK2
TUBA1B,USP1,NUCB2,AHCTF1,SAT1,AK4,SNHG7,NQO1,SEL1L,ATP6AP1,MRPL10,CALD1,C15ORF48,RHOC,LTF,LINC00152,SAA1,MMP7,MALL,PHB,SNRPG,FOSL2,SERPINF1,IGFBP2,CPE,UCHL1,FGF12,KLK6,MTSS1,PDZK1IP1,ALOX15B,S100B,HBQ1,GUCY1B3,LYZ,IGLV3-21,LINC00152,FOLR1,FSTL3,SLC16A3,KMT2C
DLGAP5,DNMT1,SIVA1,CLINT1,DDIT4,DNAJB9,WARS,EIF4A1,SRPRA,CFI,HSD17B11,COL6A3,ITGA6,S100A14,SFRP1,S100A16,HLA-F,LGALS1,CEACAM5,PNO1,LGALS1,LIF,TNFSF10,MLF1,CD9,BASP1,MPZL1,MAL,SPRY4,TCN1,SLPI,SLC45A2,SMIM10,PRKAR2B,MGST1,ITGB7,FREM1,GAMT,TMEM45A,TFF2,LUC7L3
TACC3,PKMYT1,SRSF7,FAM208B,EGR2,ERRFI1,ZFAND2A,SPCS2,AC012181.2,EPHX1,TOP1MT,CTSK,PTHLH,CD24,TP53AIP1,VCL,IFIT2,CTSD,MUC4,DCAF13,NHP2,LUCAT1,FMO2,OSCP1,FABP7,CXADR,MSMO1,SPOCK3,REV3L,CEACAM1,SFTA1P,SNCA,EPCAM,TGFB1,TNFSF13B,JCHAIN,PBX1,HRSP12,ZBTB16,CEACAM5,MEF2C
STMN1,MAD2L1,YBX1,KMT2A,HERPUD1,MT2A,C6ORF48,IMPDH2,CKAP4,EPRS,NOA1,FBLN1,TPM1,CRIP2,CD74,SAMD4A,SOD2,ARPC1B,SERPINB1,ENO1,SNRPF,MLF1,FAM3D,PLAC8,GRAMD3,GNG3,P2RX7,HAPLN2,MMP16,ISG20,AK1,TBC1D16,FAM45A,TPM4,HLA-DQB1,TXNIP,PDLIM1,RBP5,TMEM91,MUC5AC,PDIA4
DEPDC1,PSMC3IP,LSM4,MACF1,PLK2,SLC3A2,STC2,RTCB,MLEC,GGH,FBL,IGFBP4,CDA,MYL12A,EGR1,ADAMTS9-AS2,GBP2,ISG15,AGR2,NCL,PFDN2,NAMPT,PRSS23,DNAH5,ZFP36,GPC2,RTKN,UGT8,KLF12,LINC01133,DUOX1,TYRP1,FCGRT,VASP,CD74,MIR4539,MPP1,TSPAN1,FKBP5,SDCBP2,SNORD55
ECT2,CDCA4,ANP32B,PAXBP1,DNAJA1,VIM,ZNF622,GSTO1,SEC63,HEXB,MRPL45,POSTN,IGFBP6,RAB11FIP1,BCAM,SLC4A7,HLA-A,WFDC2,CLIC3,NOP58,LSM7,NCOA7,RDH10,CRIP1,F3,KIF5C,TNFRSF21,STMN4,TFDP2,SLC44A4,FASN,WIPI1,SLC25A37,RAB27B,PTPRCAP,SEL1L3,SOX4,GPX3,S100A6,SMIM5,SNORD68
CENPW,RFC2,UQCRQ,HIST1H1B,HSPA6,ENO1,HSPA9,PDIA3,SLC3A2,MALAT1,ZNF277,RARRES2,PDPN,S100P,SESN3,GFAP,CXCL10,LGALS3BP,SERPINB4,PRMT1,NDUFB8,PFKFB3,CD82,RP11-295M3.4,PLP1,PAK3,SMOC1,ATP1B1,CADM2,VSIG1,FABP5,SPON2,LMNA,PIM1,ANKRD28,PRDX4,FAM117A,CXCL14,C1R,ISG15,SON
ZWINT,CDC45,HSPB11,UACA,PMAIP1,PFKFB3,PDRG1,PRDX2,TXNDC15,PPIB,PAICS,SERPING1,RHOD,STMN1,IFITM1,CADPS,HLA-DQA1,CALM2,FABP5,BZW2,NDUFA7,ZBTB43,RARRES1,GSTA1,ID4,RTN1,ACAT2,44447,ARHGEF7,CEACAM7,CXCL17,ZNF106,HBG1,CD36,CD34,IRF4,FAM19A2,PRAP1,MMP7,SLC2A1,UTRN
HIST1H4C,UHRF1,SUMO2,SENP6,CITED2,HK2,UPP1,NUP37,ATF4,SPP1,EXOSC5,SNAI2,INHBA,FXYD3,HTRA1,GNG12,PARP9,TUBA1A,SULT2B1,CMSS1,RPS21,ZC3H12A,KYNU,SLC44A4,PSAT1,TERF2IP,FDFT1,PACS2,GOLGB1,CXCL17,SDR16C5,BCL2A1,UROD,LGALS1,CPA3,MAN1A2,ICAM4,LACTB2,KLF4,LRRC8A,ZBTB38
KIF23,MCM2,SNRPD3,ZMYM4,ID3,CA12,CCDC174,ILF2,LAPTM4A,SERPINA1,ZFAS1,TCF4,ITGAV,FLNA,IFIT3,KLHL4,B2M,A2M,CLDN7,FKBP4,COA3,FHL2,NDRG2,NUCB2,GJA1,SYT1,PGRMC1,ANKS1B,ZMYM2,CES2,LAMP3,SNX10,CSF2RB,CKB,KIAA0125,TNFRSF17,CASP3,GCHFR,ANXA1,MT1X,XIST
